Country,VpnServer
SPAIN,my_expressvpn_spain_-_madrid_udp.ovpn
SRI LANKA,my_expressvpn_sri_lanka_udp.ovpn
SWEDEN,my_expressvpn_sweden_udp.ovpn
SWITZERLAND,my_expressvpn_switzerland_udp.ovpn
SWITZERLAND,my_expressvpn_switzerland_-_2_udp.ovpn
TAIWAN,my_expressvpn_taiwan_-_3_udp.ovpn
THAILAND,my_expressvpn_thailand_udp.ovpn
TURKEY,my_expressvpn_turkey_udp.ovpn
UK,my_expressvpn_uk_-_docklands_udp.ovpn
UK,my_expressvpn_uk_-_east_london_udp.ovpn
UK,my_expressvpn_uk_-_kent_udp.ovpn
UK,my_expressvpn_uk_-_london_udp.ovpn
UKRAINE,my_expressvpn_ukraine_udp.ovpn
URUGUAY,my_expressvpn_uruguay_udp.ovpn
USA,my_expressvpn_usa_-_atlanta_udp.ovpn
USA,my_expressvpn_usa_-_chicago_udp.ovpn
USA,my_expressvpn_usa_-_dallas_udp.ovpn
USA,my_expressvpn_usa_-_dallas_-_2_udp.ovpn
USA,my_expressvpn_usa_-_denver_udp.ovpn
USA,my_expressvpn_usa_-_los_angeles_udp.ovpn
USA,my_expressvpn_usa_-_los_angeles_-_1_udp.ovpn
USA,my_expressvpn_usa_-_los_angeles_-_2_udp.ovpn
USA,my_expressvpn_usa_-_los_angeles_-_3_udp.ovpn
USA,my_expressvpn_usa_-_los_angeles_-_4_udp.ovpn
USA,my_expressvpn_usa_-_los_angeles_-_5_udp.ovpn
USA,my_expressvpn_usa_-_miami_udp.ovpn
USA,my_expressvpn_usa_-_miami_-_2_udp.ovpn
USA,my_expressvpn_usa_-_new_jersey_-_1_udp.ovpn
USA,my_expressvpn_usa_-_new_jersey_-_2_udp.ovpn
USA,my_expressvpn_usa_-_new_jersey_-_3_udp.ovpn
USA,my_expressvpn_usa_-_new_york_udp.ovpn
USA,my_expressvpn_usa_-_new_york_-_2_udp.ovpn
USA,my_expressvpn_usa_-_salt_lake_city_udp.ovpn
USA,my_expressvpn_usa_-_san_francisco_udp.ovpn
USA,my_expressvpn_usa_-_san_jose_udp.ovpn
USA,my_expressvpn_usa_-_seattle_udp.ovpn
USA,my_expressvpn_usa_-_tampa_-_1_udp.ovpn
USA,my_expressvpn_usa_-_washington_dc_udp.ovpn
USA,my_expressvpn_usa_-_washington_dc_-_2_udp.ovpn
UZBEKISTAN,my_expressvpn_uzbekistan_udp.ovpn
VENEZUELA,my_expressvpn_venezuela_udp.ovpn
VIETNAM,my_expressvpn_vietnam_udp.ovpn
